"individual","width_0.1","width_0.2","width_0.3","width_0.4","width_0.5","width_0.6","width_0.7","width_0.8","width_0.9","thickness_0.1","thickness_0.2","thickness_0.3","thickness_0.4","thickness_0.5","thickness_0.6","thickness_0.7","thickness_0.8","thickness_0.9"
"10075",46.12386,68.68668,81.8134,91.12504,96.93656,100.8126,97.37598,86.62416,65.37452,10.3759,19.37512,25.25014,35.12566,42.0624,41.62552,37.87394,28.6258,20.74926
"31541",56.3753,76.62418,91.00058,100.50018,106.87558,116.25072,113.68786,109.37494,102.99954,19.62404,35.99942,46.25086,51.24958,56.12384,56.3753,52.25034,48.75022,51.50104
"3837",47.74946,64.135,71.374,80.50022,89.49944,96.43872,95.3135,85.49894,66.12382,13.74902,25.12568,32.4993,37.62502,39.43858,37.74948,33.3756,28.24988,21.93798
"3891",38.24986,50.62474,60.68822,72.49922,80.87614,86.12378,84.00034,80.50022,64.62522,8.12546,16.6243,22.49932,27.0002,31.37408,34.0614,29.99994,26.31186,17.12468
"3911",39.12616,49.62398,59.87542,70.50024,76.2508,79.25054,78.12532,73.31202,58.49874,7.24916,14.3129,21.75002,23.50008,25.25014,25.75052,25.12568,23.12416,16.49984
"3946",22.9997,37.87394,46.37532,54.0004,55.626,52.81168,51.12512,45.3136,35.25012,7.9375,14.12494,20.6248,27.0002,28.6258,26.49982,23.37562,20.24888,12.99972
"4018",44.81322,55.626,61.1886,71.374,73.49998,76.31176,71.24954,65.25006,47.625,9.75106,17.74952,23.62454,28.18638,29.49956,28.99918,23.876,23.37562,16.87576
"4193",31.37408,47.00016,56.25084,63.5,69.75094,65.75044,65.1256,60.81268,41.1226,7.31266,13.87602,23.93696,32.12592,31.43758,30.74924,29.87548,26.56332,18.37436
"4478",42.8752,53.68798,63.25108,72.87514,76.62418,80.87614,79.87538,76.75118,59.25058,9.87552,16.37538,22.12594,24.6253,28.4988,31.6865,30.37586,26.87574,15.56258
"4533",29.87548,38.43782,45.87494,52.25034,58.24982,59.62396,56.06288,52.56276,37.3634,9.12622,14.37386,18.2499,19.93646,20.37588,19.0627,17.37614,13.5001,10.2489
"4552",26.74874,33.3756,38.81374,43.25112,46.37532,48.75022,49.9364,48.75022,41.87444,10.50036,14.37386,15.25016,15.62608,16.37538,17.4371,16.49984,13.74902,13.74902
"4577",39.12616,56.3753,69.99986,81.99882,92.1258,93.6244,92.25026,85.99932,65.8749,8.12546,16.18742,21.93798,30.50032,36.75126,39.49954,37.3761,31.06166,26.1239
"4892",45.12564,57.74944,66.6242,75.25004,78.75016,83.62442,84.74964,77.62494,61.1251,8.12546,15.00124,19.56308,24.5618,28.6258,30.74924,29.99994,25.93848,21.5011
"5042",35.0012,49.75098,59.87542,68.50126,72.2503,74.43724,72.75068,64.50076,48.3743,10.06348,20.18792,27.813,31.24962,31.0007,30.1244,27.62504,23.50008,17.81302
"5058",41.62552,52.75072,58.0009,63.12408,68.37426,65.18656,67.37604,66.37528,51.24958,11.1252,16.25092,18.87474,25.25014,28.68676,32.68726,30.68828,24.81326,21.87448
"5069",23.12416,37.2491,45.49902,48.06188,50.37582,50.68824,52.99964,54.06136,39.49954,7.1247,13.5001,22.2504,25.18664,24.74976,23.876,26.37536,21.3741,13.62456
"5102",33.3756,45.68698,54.0004,60.3758,64.37376,65.56248,62.7507,56.62422,43.12412,8.87476,13.74902,18.62582,25.49906,29.56306,27.12466,27.0002,25.12568,16.12392
"5357",42.1259,56.62422,63.31204,69.62394,77.0001,80.74914,72.12584,59.99988,51.12512,11.1252,17.00022,21.12518,26.43632,31.93796,31.93796,31.99892,28.4988,24.50084
"5403",39.87546,53.2511,61.8744,68.00088,72.9996,70.6247,67.62496,55.81142,42.75074,7.43712,13.87602,19.25066,21.87448,24.87422,27.24912,24.5618,22.12594,16.49984
"5414",32.37484,43.25112,50.7492,58.99912,62.99962,68.75018,67.81292,59.75096,43.37558,6.12394,12.6238,17.00022,20.43684,22.9997,26.68778,25.99944,25.12568,11.62558
"5561",14.87424,22.2504,31.50108,36.25088,40.24884,43.37558,43.6245,38.62578,28.321,7.50062,13.74902,15.68704,17.62506,18.1864,17.31264,15.75054,14.56182,11.50112
"5667",48.49876,64.62522,73.8759,81.99882,88.31326,90.12428,86.87562,75.438,59.69,7.50062,16.74876,22.2504,27.0002,30.62478,32.12592,31.62554,26.37536,19.75104
"5811",55.87492,67.00012,74.00036,79.62392,84.37626,87.62492,86.25078,80.50022,58.8772,12.6238,20.6248,24.6253,31.12516,33.25114,36.75126,32.5628,31.87446,23.37562
"6108",41.87444,55.00116,72.75068,82.87512,84.74964,85.31352,77.62494,65.62598,47.24908,9.25068,15.9385,21.62556,26.49982,28.6258,32.68726,32.25038,21.3741,12.81176
"6110",37.06368,50.50028,63.5635,75.87488,84.56168,89.12606,88.8746,86.18728,59.12612,8.87476,15.56258,19.1262,22.62378,25.31364,23.50008,22.62378,21.12518,16.56334
"6135",46.1264,59.99988,69.25056,76.1238,80.1243,81.12506,79.375,71.374,53.87594,7.874,16.93672,24.00046,27.37612,30.74924,34.24936,33.12414,29.87548,18.00098
"6207",39.25062,54.12486,66.6242,75.87488,81.31302,83.56346,82.25028,73.8124,58.24982,10.3759,18.62582,24.87422,31.50108,35.0012,33.43656,28.75026,25.81148,19.1262
"6291",39.99992,54.0004,62.25032,63.25108,65.00114,63.25108,62.25032,53.56352,45.87494,9.93648,15.9385,21.24964,27.0002,32.18688,32.75076,23.749,20.93722,15.1257
"6310",44.62526,58.87466,71.62546,80.74914,89.25052,95.37446,92.49918,87.06358,76.9366,9.5631,15.62608,20.6248,27.87396,28.87472,28.99918,29.4386,31.06166,24.31288
"6386",46.12386,62.87516,71.374,78.75016,83.06308,84.56168,82.5627,73.49998,59.37504,10.12444,17.12468,27.50058,35.49904,35.56254,28.4988,27.12466,24.24938,18.37436
"6389",40.4368,54.93766,68.50126,77.18806,81.99882,84.50072,81.31302,73.93686,57.00014,8.49884,16.49984,25.25014,30.50032,31.62554,32.06242,30.37586,25.12568,18.2499
"6399",28.4988,38.8747,49.31156,55.499,59.87542,61.9379,58.62574,55.68696,42.49928,7.1247,10.62482,14.12494,15.875,16.74876,17.56156,17.37614,15.99946,11.75004
"6559",28.00096,37.87394,42.99966,46.8757,49.87544,53.37556,52.12588,46.62424,37.62502,5.75056,12.56284,13.12418,12.7508,13.12418,12.7508,13.18768,8.7503,5.99948
"6706",38.49878,51.12512,58.37428,66.6242,71.81342,73.37552,72.62622,66.87566,53.2511,9.5631,14.74978,21.93798,27.0002,29.3751,34.24936,33.62452,24.74976,15.8115
"6717",54.0004,64.62522,72.9996,81.62544,90.68816,97.74936,97.37598,88.37422,65.00114,8.24992,14.3129,24.12492,32.75076,39.18712,40.62476,38.75024,32.12592,22.9997
"6718",28.37434,46.12386,56.75122,64.62522,70.43674,75.12558,74.74966,68.50126,54.87416,10.50036,18.75028,21.31314,22.2504,24.6253,23.876,23.876,22.9997,19.75104
"6856",51.37404,66.31178,78.24978,87.00008,96.43872,95.87484,94.18828,86.12378,65.25006,11.24966,18.75028,25.87498,33.87598,39.25062,41.18864,40.74922,35.687,19.99996
"6877",45.56252,54.56174,63.62446,70.87616,79.25054,82.6262,83.25104,76.2508,58.12536,13.5001,19.25066,22.87524,27.62504,31.18866,31.75,30.24886,23.37562,15.875
"7097",37.2491,51.6255,61.37402,71.24954,77.68844,77.12456,73.12406,63.12408,44.74972,11.24966,17.5006,23.62454,24.24938,23.56358,20.50034,19.99996,19.8755,15.99946
"7162",34.1249,40.74922,45.00118,49.9999,49.06264,55.06212,53.2511,53.37556,39.43858,9.12622,17.24914,21.87448,21.00072,20.50034,22.49932,24.24938,24.00046,20.6248
"7222",18.37436,28.99918,37.93744,46.0629,47.87392,49.49952,47.74946,41.87444,30.1244,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7383",53.37556,68.62572,77.7494,87.62492,94.74962,96.93656,93.49994,80.74914,60.87618,8.62584,15.49908,24.00046,32.12592,36.87572,37.18814,35.62604,28.6258,18.49882
"7413",40.87622,60.06338,71.99884,81.50098,87.50046,89.56294,84.24926,74.12482,57.50052,11.43762,19.99996,24.74976,29.87548,34.37382,31.06166,27.37612,23.876,19.8755
"7474",31.75,44.93768,50.62474,62.12586,71.501,74.12482,72.87514,66.25082,50.50028,8.93826,13.87602,19.25066,24.37384,28.68676,25.49906,21.62556,17.87398,14.2494
"7673",36.87572,51.6255,58.0009,66.6242,71.56196,71.00062,67.24904,62.25032,48.3743,9.75106,15.49908,21.12518,23.749,29.75102,29.25064,28.37434,27.0002,14.87424
"7690",22.62378,31.12516,34.74974,39.12616,42.37482,42.25036,42.49928,35.56254,26.2509,6.74878,11.1252,11.99896,13.93698,13.5001,13.25118,12.7508,10.62482,10.87374
"7698",50.93716,63.31204,74.50074,86.75116,91.74988,93.12402,89.7509,81.12506,61.62548,12.87526,23.749,31.62554,33.25114,32.25038,38.1254,36.75126,32.81172,17.12468
"8079",46.12386,57.8739,66.87566,76.2508,85.37448,89.37498,91.43746,86.62416,68.75018,11.75004,17.5006,21.93798,24.37384,26.37536,28.24988,28.81376,25.81148,18.00098
"8347",36.5633,43.688,49.9999,56.25084,60.62472,63.06312,63.25108,58.99912,47.50054,7.1882,12.37488,16.6243,22.12594,24.24938,24.37384,22.9997,16.6243,11.24966
"8423",29.87548,44.12488,55.68696,62.12586,66.31178,69.1261,67.37604,61.37402,47.00016,6.56336,13.18768,20.37588,26.62428,28.6258,31.0007,29.87548,27.7495,17.87398
"9480",19.25066,31.87446,39.87546,47.87392,59.25058,62.6872,59.25058,53.50002,40.74922,4.62534,11.00074,17.12468,18.87474,21.31314,21.75002,18.68678,16.37538,13.74902
"9868",27.0002,37.68852,45.3136,50.24882,52.25034,55.12562,53.1241,49.37506,33.50006,8.81126,15.49908,21.00072,23.37562,23.56358,24.50084,25.3746,22.12594,21.12518
